Word,Synonyms
Amazing,Incredible Fantastic Fabulous
Begin,Initiate Inaugurate
Delicious,Savoury
Dull,Boring Uninteresting
Explain,Elaborate Interpret
Famous,Well-known Renowned
Hide,Conceal Cover Mask Veil
Important,Necessary Vital Critical Valuable Essential Famous Notable
Little,Tiny Cramped
Love,Like Admire Fancy Care for Adore
Move,Creep Crawl Drag
Draw, Map Diagram Procedure Method Blueprint
Wrong,Incorrect Inaccurate Mistaken Improper Unsuitable
